request_id,amount_safe_to_pay,affordability_status,recommended_payment_method,payment_plan,earliest_date_for_full_payment,spending_changes_needed,decision_explanation
request_26,15656000,affordable_now,full_payment,2025-08-03:15656000,2025-08-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_27,6670,affordable_now,full_payment,2026-07-05:6670,2026-07-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_28,456.86,affordable_later,wait,2024-07-15:1302.4,2024-07-15,none,Baseline forecast finds a later safe full-payment date.
request_29,26273.31,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_30,775.2,affordable_with_plan,installments,2026-04-06:268.74|2026-05-06:268.74|2026-06-05:268.74,2026-04-06,none,Baseline selected supplied installment option payment_option_83.
request_31,11662071.93,affordable_later,wait,2024-09-15:18164000,2024-09-15,none,Baseline forecast finds a later safe full-payment date.
request_32,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_33,51069.49,affordable_later,wait,2026-01-15:118000,2026-01-15,none,Baseline forecast finds a later safe full-payment date.
request_34,129400,affordable_now,full_payment,2024-12-04:129400,2024-12-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_35,55303.66,affordable_later,wait,2025-12-15:212000,2025-12-15,none,Baseline forecast finds a later safe full-payment date.
request_36,749.17,affordable_later,wait,2026-08-15:3954,2026-08-15,none,Baseline forecast finds a later safe full-payment date.
request_37,6763768.84,affordable_later,wait,2024-03-18:14649000,2024-03-18,none,Baseline forecast finds a later safe full-payment date.
request_38,267.94,affordable_later,wait,2025-09-14:971.3,2025-09-14,none,Baseline forecast finds a later safe full-payment date.
request_39,160378.32,affordable_later,wait,2026-04-15:208600,2026-04-15,none,Baseline forecast finds a later safe full-payment date.
request_40,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_41,13519249.68,affordable_later,wait,2025-11-15:38760000,2025-11-15,none,Baseline forecast finds a later safe full-payment date.
request_42,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_43,10022509.69,affordable_later,wait,2024-10-16:43339000,2024-10-16,none,Baseline forecast finds a later safe full-payment date.
request_44,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_45,6301384.76,affordable_later,wait,2026-08-15:21983000,2026-08-15,none,Baseline forecast finds a later safe full-payment date.
request_46,46957.69,affordable_with_plan,partial_payment,2024-12-03:46957.69|2024-12-16:2492.31,2024-12-16,none,Baseline splits the request across two safe payments.
request_47,29786345.91,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_48,45700,affordable_now,full_payment,2026-07-25:45700,2026-07-25,none,Baseline forecast keeps the balance above the minimum after full payment.
request_49,12299584.33,affordable_with_plan,installments,2024-03-18:11902106.67|2024-04-18:11902106.67|2024-05-19:11902106.67,2024-05-19,none,Baseline selected supplied installment option payment_option_133.
request_50,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_51,2191000,affordable_now,full_payment,2026-01-03:2191000,2026-01-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_52,26530,affordable_later,wait,2024-06-16:28870,2024-06-16,none,Baseline forecast finds a later safe full-payment date.
request_53,883.42,affordable_with_plan,installments,2025-11-21:589.06|2025-12-19:589.06|2026-01-16:589.06,2025-11-15,none,Baseline selected supplied installment option payment_option_145.
request_54,7814.15,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_55,148236.76,affordable_with_plan,installments,2026-06-11:75781.33|2026-07-12:75781.33|2026-08-12:75781.33,2026-06-15,none,Baseline selected supplied installment option payment_option_151.
request_56,758.56,affordable_with_plan,partial_payment,2025-02-03:758.56|2025-02-15:123,2025-02-15,none,Baseline splits the request across two safe payments.
request_57,17942.85,affordable_later,wait,2026-05-15:61446,2026-05-15,none,Baseline forecast finds a later safe full-payment date.
request_58,16226000,affordable_now,full_payment,2024-12-07:16226000,2024-12-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_59,140600,affordable_with_plan,installments,2025-05-07:48741.33|2025-06-04:48741.33|2025-07-02:48741.33,2025-05-04,none,Baseline selected supplied installment option payment_option_163.
request_60,199.89,affordable_now,full_payment,2026-01-06:199.89,2026-01-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_61,29062,affordable_with_plan,installments,2024-03-17:10074.83|2024-04-17:10074.83|2024-05-18:10074.83,2024-03-03,none,Baseline selected supplied installment option payment_option_169.
request_62,404.23,affordable_now,full_payment,2025-08-05:404.23,2025-08-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_63,58396.01,affordable_with_plan,partial_payment,2026-07-07:58396.01|2026-07-16:285503.99,2026-07-16,none,Baseline splits the request across two safe payments.
request_64,51906.74,affordable_with_plan,installments,2024-06-11:22082.67|2024-07-12:22082.67|2024-08-12:22082.67,2024-06-15,none,Baseline selected supplied installment option payment_option_177.
request_65,9067.65,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_66,22200,affordable_now,full_payment,2026-04-03:22200,2026-04-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_67,578.52,affordable_later,wait,2024-09-15:2094,2024-09-15,none,Baseline forecast finds a later safe full-payment date.
request_68,1616.48,affordable_with_plan,installments,2025-02-14:725.09|2025-03-14:725.09|2025-04-11:725.09,2025-02-24,none,Baseline selected supplied installment option payment_option_187.
request_69,529.1,affordable_now,full_payment,2026-01-04:529.1,2026-01-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_70,59952.21,affordable_later,wait,2025-01-17:243900,2025-01-17,none,Baseline forecast finds a later safe full-payment date.
request_71,2172849.03,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_72,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_73,71400,affordable_now,full_payment,2023-01-20:71400,2023-01-20,none,Baseline forecast keeps the balance above the minimum after full payment.
request_74,5010,affordable_now,full_payment,2025-08-04:5010,2025-08-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_75,28270,affordable_with_plan,installments,2026-04-09:9800.27|2026-05-09:9800.27|2026-06-08:9800.27,2026-04-06,none,Baseline selected supplied installment option payment_option_208.
request_76,1083.07,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_77,60700,affordable_now,full_payment,2025-11-05:60700,2025-11-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_78,50200,affordable_now,full_payment,2025-10-02:50200,2025-10-02,none,Baseline forecast keeps the balance above the minimum after full payment.
request_79,856.13,affordable_with_plan,partial_payment,2024-09-04:856.13|2024-09-16:1295.47,2024-09-16,none,Baseline splits the request across two safe payments.
request_80,140770,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_81,2076,affordable_now,full_payment,2026-07-03:2076,2026-07-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_82,537.46,affordable_later,wait,2024-12-17:1405.2,2024-12-17,none,Baseline forecast finds a later safe full-payment date.
request_83,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_84,38868.28,affordable_later,wait,2026-04-15:95400,2026-04-15,none,Baseline forecast finds a later safe full-payment date.
request_85,778615.05,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_86,28165.71,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_87,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_88,11959.79,affordable_with_plan,installments,2024-06-14:9045.23|2024-07-15:9045.23|2024-08-15:9045.23,2024-06-15,none,Baseline selected supplied installment option payment_option_245.
request_89,10831438.44,affordable_with_plan,installments,2025-11-18:4768746.67|2025-12-16:4768746.67|2026-01-13:4768746.67,2025-11-15,none,Baseline selected supplied installment option payment_option_248.
request_90,2560,affordable_now,full_payment,2026-07-06:2560,2026-07-06,none,Baseline forecast keeps the balance above the minimum after full payment.
request_91,1413.28,affordable_later,wait,2024-09-15:1927.2,2024-09-15,none,Baseline forecast finds a later safe full-payment date.
request_92,34034,affordable_now,full_payment,2025-02-05:34034,2025-02-05,none,Baseline forecast keeps the balance above the minimum after full payment.
request_93,1729.2,affordable_now,full_payment,2026-04-07:1729.2,2026-04-07,none,Baseline forecast keeps the balance above the minimum after full payment.
request_94,572,affordable_now,full_payment,2024-12-04:572,2024-12-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_95,26221.6,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_96,59822.07,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_97,2910.52,affordable_with_plan,installments,2024-03-19:8145.28|2024-04-19:8145.28|2024-05-20:8145.28,2024-03-16,none,Baseline selected supplied installment option payment_option_272.
request_98,11474.73,affordable_later,wait,2025-08-15:27148,2025-08-15,none,Baseline forecast finds a later safe full-payment date.
request_99,18062,affordable_now,full_payment,2026-07-04:18062,2026-07-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_100,29616.17,affordable_with_plan,installments,2024-06-13:12866.19|2024-07-14:12866.19|2024-08-14:12866.19,2024-06-15,none,Baseline selected supplied installment option payment_option_281.
request_101,143500,affordable_now,full_payment,2025-11-03:143500,2025-11-03,none,Baseline forecast keeps the balance above the minimum after full payment.
request_102,1716,affordable_with_plan,installments,2026-04-05:594.88|2026-05-05:594.88|2026-06-04:594.88,2026-04-05,none,Baseline selected supplied installment option payment_option_287.
request_103,28869,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_104,17204,affordable_now,full_payment,2025-02-04:17204,2025-02-04,none,Baseline forecast keeps the balance above the minimum after full payment.
request_105,53500,affordable_now,full_payment,2026-06-08:53500,2026-06-08,none,Baseline forecast keeps the balance above the minimum after full payment.
request_106,538.44,affordable_later,wait,2025-01-16:2207.7,2025-01-16,none,Baseline forecast finds a later safe full-payment date.
request_107,0,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_108,4736.92,not_affordable,not_recommended,none,,none,Baseline found no eligible safe plan within 90 days.
request_109,889.14,affordable_with_plan,installments,2024-03-18:645.98|2024-04-18:645.98|2024-05-19:645.98,2024-03-16,none,Baseline selected supplied installment option payment_option_307.
